run_id,graph_type,nodes,edges,runtime_s,peak_rss_mb,iterations,initial_global_tension,final_global_tension,contradiction_localization_f1,degree_baseline_f1,pagerank_like_baseline_f1,random_residual_baseline_f1,plateau_step,hub_residual_tension_share,edges_relaxed_per_s
scale-random-10000-seed42,random,10000,30010,19.520682901999862,4.592506408691406,64,0.05781264800596585,0.00019065618626609569,0.6,0.0,1.0,0.05000000000000001,25,0.2450603140944312,69111.67026138138
scale-random-1000-seed42,random,1000,3003,1.793398093000178,0.3603019714355469,64,0.059516691038004076,0.00020568862794352125,0.8333333333333334,0.0,1.0,0.0,25,0.24242420886557975,76899.26767418857
scale-random-100-seed42,random,100,301,0.1500903969999854,0.04119873046875,64,0.06046164521668534,0.00021876652489046715,0.5,0.0,1.0,0.0,22,0.24551189763952969,88719.8666014675
scale-scale_free-10000-seed42,scale_free,10000,30004,22.59157788099992,4.5769805908203125,64,0.1522264276612397,0.30354551569070554,0.0,0.0,1.0,0.05000000000000001,33,0.9131949469305318,84998.75529344867
scale-scale_free-1000-seed42,scale_free,1000,2997,2.1360371490000034,0.3629302978515625,64,0.14311494512097261,0.2575876425649677,0.0,0.0,1.0,0.0,30,0.9079601737163404,89796.19108674953
scale-scale_free-100-seed42,scale_free,100,295,0.1911938509997526,0.04422760009765625,64,0.09379219646667251,0.21039086967020684,0.0,0.0,1.0,0.0,64,0.9169709643365992,98747.94561266738
scale-small_world-10000-seed42,small_world,10000,30008,21.213989730999856,4.594692230224609,64,0.05957339988971655,0.001032517938711921,0.6,0.35,1.0,0.0,27,0.47655841046928693,89408.59423667706
scale-small_world-1000-seed42,small_world,1000,3002,2.0683698240000012,0.3634033203125,64,0.059729001867918886,0.0009559651664202992,0.6666666666666666,0.5,1.0,0.0,28,0.44993766131870083,91425.62311912741
scale-small_world-100-seed42,small_world,100,301,0.18376696299992545,0.04400634765625,64,0.06566809480535865,0.0007694603312438398,1.0,0.0,1.0,0.0,31,0.6604353188099107,103500.64935234151
